iter	Passed	Remaining
783	5561	1532
784	5568	1525
785	5575	1518
786	5583	1511
787	5590	1503
788	5597	1497
789	5604	1489
790	5611	1482
791	5618	1475
792	5624	1468
793	5631	1461
794	5638	1453
795	5646	1446
796	5652	1439
797	5659	1432
798	5666	1425
799	5672	1418
800	5679	1411
801	5686	1404
802	5694	1396
803	5700	1389
804	5707	1382
805	5713	1375
806	5720	1368
807	5727	1360
808	5733	1353
809	5739	1346
810	5746	1339
811	5753	1332
812	5760	1324
813	5766	1317
814	5774	1310
815	5782	1303
816	5788	1296
817	5795	1289
818	5802	1282
819	5810	1275
820	5817	1268
821	5823	1261
822	5830	1253
823	5836	1246
824	5843	1239
825	5850	1232
826	5856	1225
827	5863	1217
828	5869	1210
829	5876	1203
830	5882	1196
831	5889	1189
832	5897	1182
833	5905	1175
834	5912	1168
835	5918	1161
836	5925	1154
837	5932	1146
838	5939	1139
839	5946	1132
840	5953	1125
841	5960	1118
842	5966	1111
843	5974	1104
844	5981	1097
845	5989	1090
846	5996	1083
847	6004	1076
848	6010	1069
849	6017	1061
850	6024	1054
851	6030	1047
852	6037	1040
853	6043	1033
854	6050	1026
855	6057	1019
856	6064	1011
857	6070	1004
858	6077	997
859	6084	990
860	6091	983
861	6098	976
862	6105	969
863	6112	962
864	6119	955
865	6126	947
866	6133	940
867	6140	933
868	6147	926
869	6154	919
870	6160	912
871	6167	905
872	6173	898
873	6181	891
874	6189	884
875	6197	877
876	6204	870
877	6210	863
878	6217	855
879	6224	848
880	6231	841
881	6237	834
882	6244	827
883	6251	820
884	6257	813
885	6265	806
886	6271	798
887	6278	791
888	6284	784
889	6291	777
890	6299	770
891	6306	763
892	6314	756
893	6321	749
894	6329	742
895	6335	735
896	6342	728
897	6349	721
898	6355	714
899	6362	706
900	6369	699
901	6376	692
902	6383	685
903	6390	678
904	6397	671
905	6405	664
906	6421	658
907	6431	651
908	6438	644
909	6445	637
910	6452	630
911	6460	623
912	6466	616
913	6473	609
914	6479	601
915	6486	594
916	6494	587
917	6501	580
918	6508	573
919	6515	566
920	6522	559
921	6529	552
922	6536	545
923	6543	538
924	6549	531
